MaxTemperatureF,ZIP
134,94063
127,94063
98,94063
97,94041
97,95113
96,94063
96,94301
96,94301
96,94041
96,95113
96,95113
95,94107
95,94063
95,94063
95,94063
95,94301
95,94041
95,95113
95,95113
95,95113
94,94041
94,95113
93,94107
93,94301
93,94301
93,95113
93,95113
92,94041
92,94041
92,94041
91,94107
91,94107
91,94107
91,94063
91,94063
91,94063
91,94063
91,94301
91,95113
91,95113
90,94041
90,94041
90,94041
90,95113
90,95113
89,94107
89,94107
89,94107
89,94063
89,94063
89,94301
89,95113
89,95113
89,95113
89,95113
89,95113
89,95113
89,95113
88,94107
88,94107
88,94107
88,94041
88,94041
88,95113
88,95113
88,95113
88,95113
88,95113
88,95113
88,95113
87,94107
87,94063
87,94063
87,94063
87,94301
87,94301
87,94301
87,94301
87,94301
87,94041
87,94041
87,94041
87,95113
87,95113
87,95113
87,95113
86,94107
86,94063
86,94063
86,94063
86,94063
86,94063
86,94301
86,94301
86,94301
86,94301
86,94041
86,94041
86,94041
86,94041
86,95113
86,95113
86,95113
86,95113
86,95113
86,95113
86,95113
86,95113
85,94107
85,94041
85,94041
85,94041
85,94041
85,95113
85,95113
85,95113
85,95113
85,95113
85,95113
84,94107
84,94063
84,94063
84,94063
84,94063
84,94063
84,94063
84,94063
84,94063
84,94301
84,94301
84,94301
84,94301
84,94301
84,94301
84,94301
84,94301
84,94301
84,94041
84,94041
84,94041
84,94041
84,95113
84,95113
84,95113
84,95113
84,95113
84,95113
84,95113
84,95113
83,94107
83,94041
83,94041
83,94041
83,94041
83,95113
83,95113
83,95113
83,95113
82,94107
82,94107
82,94107
82,94107
82,94063
82,94063
82,94063
82,94063
82,94063
82,94063
82,94063
82,94063
82,94063
82,94301
82,94301
82,94301
82,94301
82,94301
82,94301
82,94301
82,94301
82,94301
82,94301
82,94301
82,94301
82,94041
82,94041
82,94041
82,94041
82,94041
82,94041
82,94041
82,94041
82,94041
82,94041
82,95113
82,95113
82,95113
82,95113
82,95113
82,95113
82,95113
82,95113
82,95113
82,95113
82,95113
82,95113
82,95113
82,95113
81,94107
81,94107
81,94041
81,94041
81,94041
81,94041
81,94041
81,94041
81,94041
81,94041
81,94041
81,95113
81,95113
81,95113
81,95113
81,95113
81,95113
81,95113
81,95113
81,95113
81,95113
81,95113
81,95113
81,95113
81,95113
80,94107
80,94107
80,94107
80,94107
80,94107
80,94107
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94063
80,94301
80,94301
80,94301
80,94301
80,94301
80,94301
80,94301
80,94301
80,94301
80,94301
80,94301
80,94301
80,94301
80,94041
80,94041
80,94041
80,94041
80,94041
80,94041
80,94041
80,94041
80,94041
80,94041
80,94041
80,94041
80,94041
80,95113
80,95113
80,95113
80,95113
80,95113
80,95113
80,95113
80,95113
80,95113
80,95113
80,95113
80,95113
80,95113
80,95113
80,95113
79,94107
79,94107
79,94107
79,94107
79,94107
79,94107
79,94107
79,94041
79,94041
79,94041
79,94041
79,94041
79,94041
79,94041
79,94041
79,94041
79,95113
79,95113
79,95113
79,95113
79,95113
79,95113
79,95113
79,95113
79,95113
79,95113
79,95113
79,95113
79,95113
79,95113
78,94107
78,94107
78,94063
78,94063
78,94063
78,94063
78,94301
78,94301
78,94301
78,94301
78,94301
78,94301
78,94301
78,94301
78,94301
78,94301
78,94301
78,94301
78,94301
78,94301
78,94301
78,94301
78,94301
78,94041
78,94041
78,94041
78,94041
78,94041
78,94041
78,94041
78,94041
78,94041
78,94041
78,94041
78,94041
78,94041
78,94041
78,95113
78,95113
78,95113
78,95113
78,95113
78,95113
78,95113
78,95113
78,95113
78,95113
78,95113
78,95113
78,95113
78,95113
78,95113
78,95113
78,95113
78,95113
77,94107
77,94107
77,94107
77,94107
77,94107
77,94107
77,94063
77,94063
77,94063
77,94063
77,94063
77,94063
77,94063
77,94063
77,94063
77,94063
77,94063
77,94063
77,94063
